Test : Time to finish as a function of the number of empty spaces(F) (n = 10, m = 6)
F,avg iterations
[1,582.88;
2,441.72;
3,363.65;
4,317;
5,269.21;
6,244.82;
7,216.42;
8,191.66;
9,178.55;
10,163.37;
11,147.29;
12,137.67;
13,127.31;
14,118.39;
15,108.26;
16,101.02;
17,96.34;
18,88.99;
19,85.18;
20,80.71;
21,76.28;
22,71.55;
23,70.31;
24,66.83;
25,64.71;
26,63.84;
27,62.85;
28,60.55;
29,60.15;
30,58.51;
31,58.18;
32,57.86;
33,56.94;
34,57.46;
35,57.45;
36,57.89;
37,56.04;
38,56.73;
39,56.31;
40,55.91;
41,55.71;
42,55.52;
43,55.91;
44,56.18;
45,55.85;
46,55.68;
47,56.09;
48,55.36;
49,56.11;
]
