Test : Time to finish as a function of the number of empty spaces(F) (n = 32, m = 6)
F,avg iterations
[1,2069.38;
2,1919.62;
3,1778.64;
4,1656.18;
5,1538.8;
6,1449.8;
7,1359.51;
8,1302.42;
9,1234.19;
10,1154.46;
11,1109.48;
12,1067.92;
13,1013.11;
14,971.58;
15,928.01;
16,896.72;
17,878.28;
18,831.37;
19,803.82;
20,777.69;
21,758.04;
22,726.69;
23,705.51;
24,682.13;
25,660.95;
26,631.24;
27,620.04;
28,596.41;
29,585.84;
30,571.57;
31,557.57;
32,540.38;
33,528.01;
34,510.22;
35,493.56;
36,479.35;
37,467.14;
38,454.38;
39,439.39;
40,432.22;
41,421.46;
42,416.96;
43,403.19;
44,397.86;
45,386.83;
46,383.39;
47,371.19;
48,367.6;
49,358.07;
50,345.31;
51,338.52;
52,331.43;
53,321.98;
54,317.25;
55,310.14;
56,302.16;
57,298.21;
58,290.47;
59,283.01;
60,281.96;
61,276.04;
62,271.01;
63,269.98;
64,262.73;
65,258.89;
66,254.52;
67,249.51;
68,244.97;
69,242.4;
70,238.81;
71,233.74;
72,231.88;
73,229.08;
74,227.31;
75,223.26;
76,223.79;
77,220.69;
78,217.82;
79,217.59;
80,216.12;
81,213.7;
82,212.85;
83,209.8;
84,210.4;
85,208.31;
86,206.73;
87,205.89;
88,202.68;
89,203.09;
90,200.49;
91,200;
92,198.32;
93,197.95;
94,196.07;
95,195.18;
96,194.19;
97,194.75;
98,193.92;
99,192.85;
100,191.37;
101,192.2;
102,191.91;
103,191.59;
104,190.37;
105,190.87;
106,190.17;
107,189.31;
108,189.84;
109,190.19;
110,189.09;
111,189.44;
112,189.51;
113,188.97;
114,189.52;
115,188.96;
116,188.07;
117,188.64;
118,188.33;
119,189.18;
120,189.06;
121,188.13;
122,188.21;
123,187.41;
124,187.96;
125,187.96;
126,187.88;
127,188.41;
128,187.86;
129,188.05;
130,187.31;
131,186.69;
132,188.08;
133,188.02;
134,187.38;
135,187.46;
136,186.89;
137,187.93;
138,186.49;
139,187.31;
140,187.8;
141,187.68;
142,187.73;
143,187.29;
144,187.59;
145,187.7;
146,186.73;
147,187.12;
148,187.87;
149,187;
150,187.34;
151,187.35;
152,187.18;
153,186.52;
154,186.86;
155,187.64;
156,187.45;
157,187.21;
158,187.64;
159,187.72;
]
