Test : Time to finish as a function of the number of empty spaces(F) (n = 16, m = 6)
F,avg iterations
[1,981.6;
2,836.98;
3,710.42;
4,651.08;
5,591.84;
6,529.11;
7,487.39;
8,431.03;
9,420.68;
10,379.79;
11,360.2;
12,335.44;
13,313.3;
14,294.98;
15,279.39;
16,265.62;
17,252.77;
18,237.35;
19,223.17;
20,214.45;
21,202.36;
22,196.3;
23,189.41;
24,180.37;
25,169.15;
26,162.75;
27,158.14;
28,151.66;
29,146.18;
30,139.44;
31,135.63;
32,130.67;
33,126.89;
34,121.27;
35,115.28;
36,114.22;
37,111.33;
38,109.11;
39,107.52;
40,107.46;
41,104.39;
42,103.09;
43,101.9;
44,99.29;
45,99.7;
46,98.45;
47,97.83;
48,96.6;
49,96.45;
50,93.9;
51,94.62;
52,93.42;
53,93.99;
54,93.37;
55,92.67;
56,92.53;
57,92.7;
58,92.86;
59,93.31;
60,91.41;
61,92.39;
62,92.39;
63,92.12;
64,91.68;
65,92.1;
66,92.34;
67,91.7;
68,92.06;
69,91.15;
70,91.73;
71,92.61;
72,90.84;
73,91.82;
74,91.56;
75,90.97;
76,92.26;
77,91.22;
78,92.03;
79,90.33;
]
