Test : Time to finish as a function of the number of empty spaces(F) (n = 10, m = 6)
F,avg iterations
[1,573.49;
2,436.94;
3,371.49;
4,321.04;
5,276.13;
6,238.31;
7,220.14;
8,192.83;
9,180.31;
10,166.16;
11,147.98;
12,136.93;
13,124.53;
14,119.54;
15,110.21;
16,103.82;
17,94.34;
18,91.06;
19,84.44;
20,80.15;
21,75.07;
22,72.88;
23,71.04;
24,67.55;
25,63.74;
26,64.32;
27,62.26;
28,60.9;
29,60.44;
30,59.77;
31,58.99;
32,57.96;
33,57.42;
34,56.28;
35,56.88;
36,57.12;
37,56.19;
38,56.64;
39,55.13;
40,56.43;
41,55.72;
42,56.01;
43,56.05;
44,56.06;
45,55.88;
46,55.41;
47,55.82;
48,55.99;
49,55.91;
]
